;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;log parameters;emptied
bf1ac16da2af9299e8188fece47be60d;GLO;SSP5-Base-2050;bf1ac16da2af9299e8188fece47be60d;market for potassium nitrate, technical grade;potassium nitrate, technical grade;kilogram;6.942526451453588;0.0006182438911450725;0.0006330535749502036;1.560777650176092e-09;1.135185731472369e-08;1.3405323251935887e-06;0.0856929088692075;;;
607239a9102d67d7108e464c65998c95;GLO;SSP5-Base-2050;607239a9102d67d7108e464c65998c95;market for stockpiling of anode slime from electrorefining of copper, anode;stockpiling of anode slime from electrorefining of copper, anode;kilogram;3.797302782346672;0.02337509138921097;0.005070775952232887;6.072720266812738e-08;1.0802603929629156e-07;0.00010690358657614068;0.3859723160107459;;;
8a893e1628f163b629bbadda4ad92902;RoW;SSP5-Base-2050;8a893e1628f163b629bbadda4ad92902;market for dioxane;dioxane;kilogram;1.5016184918362652;0.001457620534008427;0.009441135253481562;2.333772043977499e-08;1.849604663124629e-08;8.71535523391541e-06;0.7144833773473807;;;
8a9180e2f3ba09cbbf928b887930a815;RoW;SSP5-Base-2050;8a9180e2f3ba09cbbf928b887930a815;market for butyl acrylate;butyl acrylate;kilogram;1.2868056386099362;0.0021719159386122365;0.008375890669537945;1.4359111904028294e-08;2.2528057202072895e-08;1.0749549983661412e-05;0.6992248587139993;;;
0cf4e7f79be56af8bdf4dda15e69b40c;RoW;SSP5-Base-2050;0cf4e7f79be56af8bdf4dda15e69b40c;market for polyol;polyol;kilogram;0.9194476135764584;0.00031419290238828067;0.2309316786732895;5.500175986960233e-10;1.593607085709957e-08;8.303685596416143e-06;0.6690126395651502;;;
3140e472a4887af4e75655b2a212fa5b;GLO;SSP5-Base-2050;3140e472a4887af4e75655b2a212fa5b;market for polybutadiene;polybutadiene;kilogram;0.4694732722339173;0.00019895870481975231;0.031528789913777416;3.203219321506069e-10;1.6851122476125097e-08;7.579223673296699e-06;0.8461335331612347;;;
1548660cbdd613eab4b00ddbd388c490;GLO;SSP5-Base-2050;1548660cbdd613eab4b00ddbd388c490;market for glass wool mat;glass wool mat;kilogram;1.233260183572352;0.008073776510177133;0.010525109946877128;2.4493838037590272e-08;1.0045160144872578e-08;5.568705070020214e-06;0.19557101874761562;;;
be48ac439e1256e98c07f6c1c9ca7609;GLO;SSP5-Base-2050;be48ac439e1256e98c07f6c1c9ca7609;market for trimesoyl chloride;trimesoyl chloride;kilogram;2.6061109927609927;0.04577766475032308;0.012160357449865305;2.757008246446008e-08;3.960942336370074e-08;2.207696756355903e-05;0.8497497934194707;;;
f3697e266a0e4e218366ea50c81929c7;World;SSP5-Base-2050;f3697e266a0e4e218366ea50c81929c7;market for oxygen, liquid;oxygen, liquid;kilogram;0.10403796488161839;0.00021340175354919364;0.0002566360362727474;1.3719203090372948e-08;2.740806899990034e-09;1.2361422558892175e-06;0.025052907808473295;;;
539c211beecc4237d96ea968e53d83cf;RoW;SSP5-Base-2050;539c211beecc4237d96ea968e53d83cf;market for biomethane, medium pressure, vehicle grade;biomethane, medium pressure, vehicle grade;kilogram;0.19899828673513972;0.00030154044837655896;0.0009699071509913671;7.220637988693928e-09;7.276349059822106e-09;2.562926352010648e-06;0.0435618630325285;;;
