;location;database;code;name;reference product;unit;Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;emptied;log parameters
fdabbf27abc2d302066ebce8affec56a;GLO;SSP1-PkBudg500-2040;fdabbf27abc2d302066ebce8affec56a;market for air compressor, screw-type compressor, 300kW;air compressor, screw-type compressor, 300kW;unit;45.43582687516425;0.0003027970840623047;9.813939575200964e-05;0.1509052548019304;1150.4882831649884;;;
2b4fb423557ff1bf236754634d4c7b73;GLO;SSP1-PkBudg500-2040;2b4fb423557ff1bf236754634d4c7b73;market for cucumber;cucumber;kilogram;0.0012699542347856928;1.4393435090629523e-08;1.4680063911802243e-08;6.75553743022311e-06;0.0926873601052089;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;
5d803d215dc22df2449eb16876ed5484;GLO;SSP1-PkBudg500-2040;5d803d215dc22df2449eb16876ed5484;market for 2,5-dimethylhexane-2,5-dihydroperoxide;2,5-dimethylhexane-2,5-dihydroperoxide;kilogram;0.005489255750617107;9.732291399076353e-08;9.399984326208078e-09;4.878662432273763e-06;0.3264734211992303;;;
22db46f6ba1211c058e4da0ac386d3e7;GLO;SSP1-PkBudg500-2040;22db46f6ba1211c058e4da0ac386d3e7;market for polyethylene, high density, granulate;polyethylene, high density, granulate;kilogram;0.01181360225341504;2.0726814931226055e-08;7.688675469482893e-09;3.4819408979176527e-06;0.6367298218100068;;;
996d953c73437245026e2b8b04b09a9b;GLO;SSP1-PkBudg500-2040;996d953c73437245026e2b8b04b09a9b;market for printed wiring board, mounted mainboard, desktop computer, Pb containing;printed wiring board, mounted mainboard, desktop computer, Pb containing;kilogram;2.072090230034118;7.484677737246364e-06;6.86972409111704e-07;0.0007695861148749555;6.557157291411558;;;
ff0b4d256f672f9de782b34a8467e5de;GLO;SSP1-PkBudg500-2040;ff0b4d256f672f9de782b34a8467e5de;market for furnace, wood chips, with silo, 1000kW;furnace, wood chips, with silo, 1000kW;unit;155.56272617849936;0.0014468760359531549;0.00033693929049136867;0.5142792074385344;7219.98382025926;;;
99facf178739e8ef54f60a392318a754;GLO;SSP1-PkBudg500-2040;99facf178739e8ef54f60a392318a754;market for scrap preparation facility;scrap preparation facility;unit;27050.869226465555;0.18582407675804635;0.09304416493296828;65.29730294446335;542991.1284902456;;;
146f3dac85b63444bf2c37c4d2f26f11;GLO;SSP1-PkBudg500-2040;146f3dac85b63444bf2c37c4d2f26f11;market for plug, inlet and outlet, for printer cable;plug, inlet and outlet, for printer cable;unit;0.004111366310150168;1.1794324036651764e-08;3.0949150420396675e-09;2.6205703164237954e-06;0.0628481270784384;;;
8935626f595b071e997e105b20cc88ea;GLO;SSP1-PkBudg500-2040;8935626f595b071e997e105b20cc88ea;market for inductor, miniature radio frequency chip;inductor, miniature radio frequency chip;kilogram;0.9634302805270096;3.4880688810459585e-06;4.5694480143706647e-07;0.0005504557882763756;3.4031646897391776;;;
7c69d8d16174f2f1090de6862b1564f8;RoW;SSP1-PkBudg500-2040;7c69d8d16174f2f1090de6862b1564f8;market for ethylene;ethylene;kilogram;0.00821803170909592;4.0028863221760556e-11;5.284469929055163e-09;2.13508883506878e-06;0.5978406947304311;;;
