;location;database;code;name;reference product;unit;Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;parameters full;emptied;log parameters
79d4b6da91f4d0b639f4c9f8d20661a2;GLO;SSP1-PkBudg500-2030;79d4b6da91f4d0b639f4c9f8d20661a2;market for fibre cement facing tile, large format;fibre cement facing tile, large format;kilogram;0.00677791556375503;1.9413611199683633e-08;6.544817831815485e-09;2.3824112324377444e-06;0.0823910319904748;;;
4636e8b5f06256d23c6fbe18c64bef36;GLO;SSP1-PkBudg500-2030;4636e8b5f06256d23c6fbe18c64bef36;market for ioxynil;ioxynil;kilogram;0.015740077816169984;3.3061375156506094e-07;5.487599960753976e-08;4.097095424836572e-05;3.991619189667231;;;
fd9419bc14e077ca33133be02728da0a;GLO;SSP1-PkBudg500-2030;fd9419bc14e077ca33133be02728da0a;market for passenger car, petrol/natural gas;passenger car, petrol/natural gas;kilogram;0.025725239754958752;1.8959167207570404e-07;2.383501570513884e-08;2.4464745660247247e-05;0.48187666056983314;;;
131e17193b15c53b105914f9ec208aff;GLO;SSP1-PkBudg500-2030;131e17193b15c53b105914f9ec208aff;market for nuclear fuel element, for pressure water reactor, UO2 3.8% & MOX;nuclear fuel element, for pressure water reactor, UO2 3.8% & MOX;kilogram;1.8963776508195271;0.06101655921425813;8.380521119715096e-06;0.015948317781860587;188.0328614399745;;;
236ac1cd370007b9673c903d8ffbaded;GLO;SSP1-PkBudg500-2030;236ac1cd370007b9673c903d8ffbaded;market for ferrosilicon;ferrosilicon;kilogram;0.003927888561898949;3.671455398419498e-07;1.5256306890694114e-08;2.871467670953062e-05;0.2304726465038448;;;
61ca559a64688c9f7b0a90a4d269fc3e;RoW;SSP1-PkBudg500-2030;61ca559a64688c9f7b0a90a4d269fc3e;market for meat and bone meal;meat and bone meal;kilogram;8.966187091102058e-05;4.422891372297807e-10;1.4603869877335018e-10;7.1280614656966e-08;0.0030106645848806323;;;
b8c928211d3f7530284b95ec0b9f5799;RoW;SSP1-PkBudg500-2030;b8c928211d3f7530284b95ec0b9f5799;market for containerboard, fluting medium;containerboard, fluting medium;kilogram;0.0006976867332715544;9.770866211776516e-09;4.512806625713928e-09;1.6405878522158617e-06;0.05269577480971575;;;
4bbab70f8c40533af6f5dc3018d8139f;GLO;SSP1-PkBudg500-2030;4bbab70f8c40533af6f5dc3018d8139f;market for zinc concentrate;zinc concentrate;kilogram;0.009229570238793387;1.6067735694497395e-08;5.588789382239536e-09;1.792228367935873e-05;0.07594961474158665;;;
73c4f8da7274d6f25d3e1e504dd3e8bf;GLO;SSP1-PkBudg500-2030;73c4f8da7274d6f25d3e1e504dd3e8bf;market for cabbage red;cabbage red;kilogram;0.0006982494873521423;1.2389549279342545e-08;2.5585389367894577e-09;7.605505643659381e-07;0.020858210730046046;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;
c00598807ea2bd2b3170d1257ef205e7;GLO;SSP1-PkBudg500-2030;c00598807ea2bd2b3170d1257ef205e7;market for 2,6-di-tert-butylphenol;2,6-di-tert-butylphenol;kilogram;0.01015786332150056;4.559284125814021e-08;1.6634205013201512e-08;5.6217857502327345e-06;0.69860309615156;;;
