activity type;database;name;production amount;code;unit;reference product;location;ISIC_num;ISIC_name;CPC_num;CPC_name;prod_category;prod_sub_category
market activity;ecoinvent-3.9.1-cutoff;market for woven bamboo mat;1.0;326c6c87b737f685fe19c80ac69cceb5;kilogram;woven bamboo mat;RoW;16200;Manufacture of products of wood, cork, straw and plaiting materials;31212;Wood, continuously shaped along any of its edges or faces (including strips and friezes for parquet flooring, […];ProcBio;Wood, straw & cork
market activity;ecoinvent-3.9.1-cutoff;market for strontium carbonate;1.0;d6f7338dead4a8e401ce196c235b1f13;kilogram;strontium carbonate;GLO;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for tungsten concentrate;1.0;50faad177fd95b72f6d2f5ea917e0692;kilogram;tungsten concentrate;GLO;7290;Mining of other non-ferrous metal ores;14290;Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates);OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for ortho-phenylene diamine;1.0;3d29dd0bcaae9820ae3af66e62e25bc5;kilogram;ortho-phenylene diamine;GLO;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for wheat bran;1.0;329bb09fce32474293e1feea0e5945e2;kilogram;wheat bran;RoW;10610;Manufacture of grain mill products;23130;Groats, meal and pellets of wheat and other cereals;ProcBio;Food & beverages, animal feed
market activity;ecoinvent-3.9.1-cutoff;market for cross-laminated timber;1.0;e495b85a7516ed20273027cd2e3804fe;cubic meter;cross-laminated timber;RoW;16210;Manufacture of veneer sheets and wood-based panels;31411;Plywood consisting solely of sheets, of coniferous wood;ProcBio;Wood, straw & cork
market activity;ecoinvent-3.9.1-cutoff;market for flat glass, coated;1.0;3040de6dd4125bb9ee919cfbb750a6cd;kilogram;flat glass, coated;RoW;23100;Manufacture of glass and glass products;37114;Glass in sheets, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed, etc.;GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for calcium carbonate, precipitated;1.0;bc2c53ca3fe04d0ed1ff8a1a7706871a;kilogram;calcium carbonate, precipitated;RoW;20110;Manufacture of basic chemicals;34240;"Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for methyl ethyl ketone;1.0;073b1893284a2490fd548b8b14178a26;kilogram;methyl ethyl ketone;RoW;20110;Manufacture of basic chemicals;34170;Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…];Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for nitric acid, without water, in 50% solution state;1.0;5a2b9c03ff450592f328e9e3beda1f47;kilogram;nitric acid, without water, in 50% solution state;RoW;20120;Manufacture of fertilizers and nitrogen compounds;34233;Nitric acid, sulphonitric acids;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for light emitting diode;1.0;fbbc45c575d6004d4ef2227855b434dd;kilogram;light emitting diode;GLO;26100;Manufacture of electronic components and boards;47150;"Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]";MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for bagasse, from sugarcane;1.0;077395d23d3dc7d266b094eb0f53d1bb;kilogram;bagasse, from sugarcane;RoW;10720;Manufacture of sugar;39141;Bagasse;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for solder, bar, Sn63Pb37, for electronics industry;1.0;f26da46ccc05775ce0a71c6a5a75acc9;kilogram;solder, bar, Sn63Pb37, for electronics industry;GLO;20290;Manufacture of other chemical products n.e.c.;42950;Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or core[…];ProcBio;Food & beverages, animal feed
market activity;ecoinvent-3.9.1-cutoff;market for polyethylene, low density, granulate;1.0;4aa51a278e08ad4760d62c0bf55d903a;kilogram;polyethylene, low density, granulate;GLO;20130;Manufacture of plastics and synthetic rubber in primary forms;34710;Polymers of ethylene, in primary forms;PlastRub;Plastics & rubber products
market activity;ecoinvent-3.9.1-cutoff;market for hafnium sponge;1.0;fc220c73a8fd0b18427b8906c0583178;kilogram;hafnium sponge;GLO;24200;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;ecoinvent-3.9.1-cutoff;market for paris market carrot;1.0;8150058aa52dc9152a0f1df740fd96bd;kilogram;paris market carrot;GLO;1130;Growing of vegetables and melons, roots and tubers;1251;Carrots and turnips;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for chilli;1.0;9e58f08a87d077f57e39b0371fbd4675;kilogram;chilli;GLO;1280;Growing of spices, aromatic, drug and pharmaceutical crops;1231;Chillies and peppers, green (Capsicum spp. and Pimenta spp.);AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for asbestos, crysotile type;1.0;df67b3d01b68766ae7d013488def9122;kilogram;asbestos, crysotile type;GLO;8990;Other mining and quarrying n.e.c.;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for chicken for slaughtering, live weight;1.0;a6854ff1d9164efdb992aea63e8ba024;kilogram;chicken for slaughtering, live weight;GLO;1460;Raising of poultry;2151;Chickens;AgriForeAnim;Live animal, fish & their products
market activity;ecoinvent-3.9.1-cutoff;market for imidazole;1.0;467950d5933b8a5d975f2e292eb340f0;kilogram;imidazole;GLO;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for metallization paste, front side;1.0;1c36337e0d7c65ba5305fdfcd3ae7ddb;kilogram;metallization paste, front side;RoW;20290;Manufacture of other chemical products n.e.c.;35499;Other chemical products n.e.c.;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for titania slag, 94% titanium dioxide;1.0;8a9e591ca2da382e21db2bd20d3761ab;kilogram;titania slag, 94% titanium dioxide;GLO;7290;Mining of other non-ferrous metal ores;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;ecoinvent-3.9.1-cutoff;market for fibre, cotton;1.0;d17995da46f3d353a557d63e6764540c;kilogram;fibre, cotton;GLO;1630;Post-harvest crop activities;1921;Cotton, whether or not ginned;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for electrolyte, copper-rich;1.0;a1405c9bbcc29c27dd0ad0c0b58a3504;kilogram;electrolyte, copper-rich;GLO;7290;Mining of other non-ferrous metal ores;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for cement mortar;1.0;fcfb12106b654cfb2227dc5751f3480b;kilogram;cement mortar;RoW;23940;Manufacture of cement, lime and plaster;37000;Glass and glass products and other non-metallic products n.e.c.;GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for dimethylaminopropylamine;1.0;5c99b492af40d2b835cd87a4d10d12a8;kilogram;dimethylaminopropylamine;GLO;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for capacitor, for surface-mounting;1.0;35e6073e2d8d406d04fcd1dbe566c25b;kilogram;capacitor, for surface-mounting;GLO;26100;Manufacture of electronic components and boards;47110;Electrical capacitors;MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for lithium chloride;1.0;5fd096dcbb65a89cf50578fddef0b39b;kilogram;lithium chloride;GLO;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for aluminium, primary, liquid;1.0;6830ce27a587d3da10826ad903765cc0;kilogram;aluminium, primary, liquid;GLO;24200;Manufacture of basic precious and other non-ferrous metals;41431;Unwrought aluminium;MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;ecoinvent-3.9.1-cutoff;market for iron ore, crude ore, 63% Fe;1.0;93b2b2ecb400749437a2f79fb9d3cb96;kilogram;iron ore, crude ore, 63% Fe;GLO;7100;Mining of iron ores;14100;Iron ores and concentrates, other than roasted iron pyrites;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for liquid crystal display, minor components, auxilliaries and assembly effort;1.0;71736cf432aeb43d52148caed58fa023;kilogram;liquid crystal display, minor components, auxilliaries and assembly effort;GLO;26200;Manufacture of computers and peripheral equipment;47315;Monitors and projectors, principally used in an automatic data processing system;MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for metolachlor;1.0;c15ae9d816cf6db461c9a87e7ca7a47f;kilogram;metolachlor;GLO;20210;Manufacture of pesticides and other agrochemical products;34663;Herbicides, anti-sprouting products and plant-growth regulators;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for chlorine, gaseous;1.0;303382ff3d00bfaecdd05f38bb67f3d3;kilogram;chlorine, gaseous;RoW;20110;Manufacture of basic chemicals;34231;"Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for phthalimide;1.0;7f5d8f54b362eff0507a61f49e21eb65;kilogram;phthalimide;GLO;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for calcareous marl;1.0;3f797041a2b9e296322084b716dca9fa;kilogram;calcareous marl;RoW;8100;Quarrying of stone, sand and clay;15120;Marble and other calcareous monumental or building stone;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for epoxy resin, liquid;1.0;6cde05b97e9c5ab46039a9c19bae6a11;kilogram;epoxy resin, liquid;RoW;20110;Manufacture of basic chemicals;34740;"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]";PlastRub;Plastics & rubber products
market activity;ecoinvent-3.9.1-cutoff;market for fatty acid methyl ester;1.0;3a6586952eff793738eef72743703e90;kilogram;fatty acid methyl ester;RoW;19200;Manufacture of refined petroleum products;35491;Biodiesel;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for benzene;1.0;ba52b3e52af40933affa2965307092b1;kilogram;benzene;GLO;19200;Manufacture of refined petroleum products;33100;"Coke and semi-coke of coal, of lignite or of peat; retort carbon";OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for perlite;1.0;5a05da2a20b79671999076ea858d95a0;kilogram;perlite;GLO;8100;Quarrying of stone, sand and clay;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for printed wiring board, mounted mainboard, laptop computer, Pb free;1.0;38487c323fc46de11f4017cf84065895;kilogram;printed wiring board, mounted mainboard, laptop computer, Pb free;GLO;26100;Manufacture of electronic components and boards;47160;Electronic integrated circuits;MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for sawnwood, beam, softwood, dried (u=20%), planed;1.0;e8886746f01b33c0f9ef9863ee143db6;cubic meter;sawnwood, beam, softwood, dried (u=20%), planed;RoW;16100;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
market activity;ecoinvent-3.9.1-cutoff;market for lanthanum-cerium oxide;1.0;7d3d427debf6a6a6fbf97ae9d7aea22a;kilogram;lanthanum-cerium oxide;GLO;7290;Mining of other non-ferrous metal ores;34290;Compounds of rare earth metals, of yttrium or of scandium;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for lime, hydrated, packed;1.0;c7d075041447723e052defd7d3c10af2;kilogram;lime, hydrated, packed;RoW;23940;Manufacture of cement, lime and plaster;37420;Quicklime, slaked lime and hydraulic lime;GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for chassis, internet access equipment;1.0;92845125973b2a0581cdc0d662c0d64f;kilogram;chassis, internet access equipment;GLO;26300;Manufacture of communication equipment;47401;Parts for the goods of subclasses 47221 to 47223;MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for solvent, organic;1.0;864c358f9f6012bc0f8fb9d6ace2c973;kilogram;solvent, organic;GLO;20000;Manufacture of chemicals and chemical products;34100;Basic organic chemicals;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for printed wiring board, mounted mainboard, desktop computer, Pb free;1.0;3d2a7b0214c46d4d1d9f0797306ac627;kilogram;printed wiring board, mounted mainboard, desktop computer, Pb free;GLO;26100;Manufacture of electronic components and boards;47160;Electronic integrated circuits;MachElecTrans;Metal/electronic equipments & parts
market activity;ecoinvent-3.9.1-cutoff;market for magnesium-alloy, AZ91;1.0;8e596b319aaf5c68cea00d74bd18d908;kilogram;magnesium-alloy, AZ91;GLO;24200;Manufacture of basic precious and other non-ferrous metals;41601;Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […];MetalAlloy;Basic metals & alloys, their semi-finished products
market activity;ecoinvent-3.9.1-cutoff;market for wood wool;1.0;48625ffdb1c24080a04f2ae1114e9ce2;kilogram;wood wool;RoW;16100;Sawmilling and planing of wood;31220;"Wood wool; wood flour";ProcBio;Wood, straw & cork
market activity;ecoinvent-3.9.1-cutoff;market for sodium ethoxide;1.0;d0132fcb5b8279ba678a58bb92dadb5f;kilogram;sodium ethoxide;GLO;20110;Manufacture of basic chemicals;34100;Basic organic chemicals;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for 2,4-dinitrotoluene;1.0;51e262ff5b33ada3d397da83754483cf;kilogram;2,4-dinitrotoluene;GLO;20110;Manufacture of basic chemicals;34110;Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for landed anchovy, fresh;1.0;4d75fac037347153abcc17a5f9666647;kilogram;landed anchovy, fresh;RoW;3110;Marine fishing;4261;Other wild pelagic fish, live, fresh or chilled;AgriForeAnim;Live animal, fish & their products
market activity;ecoinvent-3.9.1-cutoff;market for 3-methyl-1-butanol;1.0;031d03477ac7e4683827f547b4e07bad;kilogram;3-methyl-1-butanol;GLO;20110;Manufacture of basic chemicals;34139;Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…];Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for cottonseed;1.0;c1165e9f75e6558fb56158799839882a;kilogram;cottonseed;RoW;1630;Post-harvest crop activities;1430;Cottonseed;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for acrylic binder, with water, in 54% solution state;1.0;65e82b8e7ddbaac441ea4660a68633d3;kilogram;acrylic binder, with water, in 54% solution state;RoW;20220;Manufacture of paints, varnishes and similar coatings, printing ink and mas;35110;Paints and varnishes and related products;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for EDTA, ethylenediaminetetraacetic acid;1.0;19a251c8ac9718ebb7d278134b06ed10;kilogram;EDTA, ethylenediaminetetraacetic acid;GLO;20110;Manufacture of basic chemicals;34000;Basic chemicals;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for lightweight concrete block, polystyrene;1.0;6cd89faa138a9fa1bd0b0f3e71fb602e;kilogram;lightweight concrete block, polystyrene;RoW;23990;Manufacture of other non-metallic mineral products n.e.c.;37900;Other non-metallic mineral products n.e.c.;GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for silicon tetrachloride;1.0;2a8c9e314c3a23a5cf796f0e8595ee7f;kilogram;silicon tetrachloride;RoW;20110;Manufacture of basic chemicals;34200;Basic inorganic chemicals n.e.c.;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for feldspar;1.0;10e21d33c3cffcabb5a566c1a47aa060;kilogram;feldspar;GLO;8100;Quarrying of stone, sand and clay;16390;Other minerals n.e.c.;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for fluorescent whitening agent, DAS1, triazinylaminostilben type;1.0;b511a228ce0f67d5c28c65abe352bf4b;kilogram;fluorescent whitening agent, DAS1, triazinylaminostilben type;GLO;20110;Manufacture of basic chemicals;34310;"Synthetic organic colouring matter and preparations based thereon; synthetic organic products of a kind used a[…]";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for poultry manure, fresh;1.0;0654fa2a94bae92b96257ca44dc238ed;kilogram;poultry manure, fresh;GLO;1610;Support activities for crop production;34654;Excreta of animals useful for manure/fertilizer and fuel preparation;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for liquefied petroleum gas;1.0;34b5bcea440e1a55ab677400ba3f4cea;kilogram;liquefied petroleum gas;RoW;19200;Manufacture of refined petroleum products;33400;Petroleum gases and other gaseous hydrocarbons, except natural gas;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for cottonseed, for sowing;1.0;2034499bc66ccc742f6c23b64ec26855;kilogram;cottonseed, for sowing;GLO;1640;Seed processing for propagation;1431;Cottonseed, seed for planting;AgriForeAnim;Agricultural & forestry products
market activity;ecoinvent-3.9.1-cutoff;market for phosphoric acid, fertiliser grade, without water, in 70% solution state;1.0;d48eb3b7b0d1cbdd22607e2676393e6a;kilogram;phosphoric acid, fertiliser grade, without water, in 70% solution state;RoW;20120;Manufacture of fertilizers and nitrogen compounds;34232;Phosphoric acid;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for sawnwood, softwood, raw, dried (u=20%);1.0;932667e365c8eea7098761e6090bebfe;cubic meter;sawnwood, softwood, raw, dried (u=20%);RoW;16100;Sawmilling and planing of wood;31101;Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood;ProcBio;Wood, straw & cork
market activity;ecoinvent-3.9.1-cutoff;market for lightweight concrete block, expanded clay;1.0;6c4431bcd798012add1f8a3d6b6cbf2b;kilogram;lightweight concrete block, expanded clay;RoW;23990;Manufacture of other non-metallic mineral products n.e.c.;37900;Other non-metallic mineral products n.e.c.;GlasNonMetal;Glass & other non-metallic products
market activity;ecoinvent-3.9.1-cutoff;market for triethanolamine;1.0;c356fda02086965b25facf1d758ee233;kilogram;triethanolamine;GLO;20110;Manufacture of basic chemicals;34150;"Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]";Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for cyclic N-compound;1.0;5099d24dacce1dac269899adf4665e28;kilogram;cyclic N-compound;GLO;20210;Manufacture of pesticides and other agrochemical products;34660;Insecticides, fungicides, herbicides and disinfectants;Chemical;Chemical products
market activity;ecoinvent-3.9.1-cutoff;market for C3 hydrocarbon mixture;1.0;14f38952361f9a77c5d86fed4c3a0b52;kilogram;C3 hydrocarbon mixture;GLO;19200;Manufacture of refined petroleum products;33420;Ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hydrocarbons, except natural gas;OreMinFuel;Ores, minerals & fuels
market activity;ecoinvent-3.9.1-cutoff;market for tin dioxide;1.0;94f4e6f35af7a78eaaa5a5b7e9624dbc;kilogram;tin dioxide;GLO;20110;Manufacture of basic chemicals;34220;"Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…]";Chemical;Chemical products
